"TimeGenerated","Computer","EventID","Account","LogonType","IpAddress","IpPort","TargetUserName","TargetDomainName","Status","SubStatus","FailureReason","ProcessName","ShareName","RelativeTargetName","AccessMask"
"2025-11-02T21:10:20.2923375Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:20.2922699Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:20.2236662Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","51286","azureadmin","vm-app-1","","","","-","","",""
"2025-11-02T21:10:20.2236097Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:20.223522Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:20.1466972Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","51285","azureadmin","vm-app-1","","","","-","","",""
"2025-11-02T21:10:20.1466573Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:20.1465878Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:20.033448Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","51284","azureadmin","vm-app-1","","","","-","","",""
"2025-11-02T21:10:20.0333903Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:20.0332966Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:18.6802007Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","51283","azureadmin","vm-app-1","","","","-","","",""
"2025-11-02T21:10:18.6801607Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:18.6800909Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:18.6094884Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","51282","azureadmin","vm-app-1","","","","-","","",""
"2025-11-02T21:10:18.6094321Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:18.6093433Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:18.5324933Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","51281","azureadmin","vm-app-1","","","","-","","",""
"2025-11-02T21:10:18.5324545Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
